X,Y,fid,OBJECTID,CIMMYTMA,Geography,coll_collNumb,B_,B__seeds,ddPCR,acceName,geo_latitude,geo_longitude,geo_elevation,Adaptation_Zone,icon_url
-97.6666667,18.6666667000001,"1","1",90,Mexico,PUEB 211,1,1,1,AZUL,18.6666667,-97.6666667,1920,"Arid, steppe, cold                    ",./0.png
-94.601906,16.5803270000001,"2","2",134,Mexico,OAXA 57,1,3,1,OLOTILLO POBLANO,16.580327,-94.601906,79,"Tropical, savannah",./0.png
-100.9833333,20.65,"3","3",270,Mexico,GUAN 35,1,2,1,CUATERO,20.65,-100.9833333,1768,"Arid, steppe, hot                     ",./0.png
-102.733333,20.8166670000001,"4","4",302,Mexico,JALI 101,1,2,1,AMARILLO,20.816667,-102.733333,1823,"Temperate, dry winter, hot summer     ",./0.png
-105.3333333,28.0500000000001,"5","5",410,Mexico,CHIH 8,1,2,1,TAYAHUA,28.05,-105.3333333,1208,"Arid, desert, hot                     ",./0.png
-99.8,20.7,"6","6",548,Mexico,QUER 58,1,7,1,MAIZ PRIETO,20.7,-99.8,2039,"Arid, steppe, cold                    ",./0.png
-89.8303969999999,13.630908,"7","7",552,El Salvador,SALV 54,1,5,1,RAQUE,13.630908,-89.830397,28,"Tropical, savannah",./0.png
-100.75,20.7166666700001,"8","8",555,Mexico,GUAN GP13,1,5,1,,20.71666667,-100.75,1800,"Arid, steppe, hot                     ",./0.png
-103.2,22.36666667,"9","9",580,Mexico,JALI 204,1,1,1,MAIZ DULCE,22.36666667,-103.2,1841,"Arid, steppe, cold                    ",./0.png
nan,nan,"10","10",581,Mexico,NAYA 9,1,4,1,MAIZ DULCE,,,,,./0.png
nan,nan,"11","11",637,Mexico,SONO 55,1,3,1,,,,,,./0.png
-87.1833329999999,13.283333,"12","12",876,Honduras,HOND 52,1,8,1,,13.283333,-87.183333,34,,./0.png
-87.02708,14.6380330000001,"13","13",882,Honduras,HOND 97,1,6,1,AMARILLO,14.638033,-87.02708,717,"Tropical, savannah",./0.png
-87.716667,14.3833330000001,"14","14",884,Honduras,HOND 81,1,4,1,,14.383333,-87.716667,702,,./0.png
-85.937304,14.793053,"15","15",889,Honduras,HOND 114,1,2,1,,14.793053,-85.937304,347,,./0.png
-89.405069,13.813794,"16","16",903,El Salvador,SALV 111,1,2,1,,13.813794,-89.405069,459,,./0.png
nan,nan,"17","17",924,El Salvador,SALV 70,1,5,1,,,,,,./0.png
